filter1_c,filter2_c,filter3_c,filter1_v,filter2_v,filter3_v,code1,code2,code3,filter_code,filter_description,
1,property_segment,property_type,1,HDB,1/2 ROOM HDB,A,H,1,AH1,All 1 & 2 ROOM HDB,
1,property_segment,property_type,1,HDB,3 ROOM HDB,A,H,2,AH2,All 3 ROOM HDB,
1,property_segment,property_type,1,HDB,4 ROOM HDB,A,H,3,AH3,All 4 ROOM HDB,
1,property_segment,property_type,1,HDB,5 ROOM HDB,A,H,4,AH4,All 5 ROOM HDB,
1,property_segment,property_type,1,HDB,OTHER HDB,A,H,5,AH5,All Other HDB,
1,property_segment,property_type,1,Non-Landed,"Apartment, Condominium, Walk-up Apartment",A,N,1,AN1,"All Non-Landed, Apartment and Condo",
1,property_segment,property_type,1,Non-Landed,Executive Condominium,A,N,2,AN2,"All Non-Landed, EC",
1,property_segment,property_type,1,Non-Landed,Cluster House,A,N,3,AN3,"All Non-Landed, Cluster",
1,property_segment,property_type,1,Landed,Corner Terrace,A,L,1,AL1,"All Landed, Corner Terrace",
1,property_segment,property_type,1,Landed,"Detached House, Good Class Bungalow, Bungalow House",A,L,2,AL2,"All Landed, Detached",
1,property_segment,property_type,1,Landed,Semi-Detached House ,A,L,3,AL3,"All Landed, Semi-Detached",
1,property_segment,property_type,1,Landed,Terraced House,A,L,4,AL4,"All Landed, Terrace",
property_segment,property_type,region_code,HDB,1/2 ROOM HDB,A,H,2,A,H2A,"1 & 2 ROOM HDB, Region City & South West",City & South West (D01-08)
property_segment,property_type,region_code,HDB,1/2 ROOM HDB,B,H,2,B,H2B,"1 & 2 ROOM HDB, Region Orchard / Holland",Orchard / Holland (D09-10)
property_segment,property_type,region_code,HDB,1/2 ROOM HDB,C,H,2,C,H2C,"1 & 2 ROOM HDB, Region Newton / Bt. Timah","Newton / Bt. Timah (D11, 21)"
property_segment,property_type,region_code,HDB,1/2 ROOM HDB,D,H,2,D,H2D,"1 & 2 ROOM HDB, Region Balestier / Geylang",Balestier / Geylang (D12-14)
property_segment,property_type,region_code,HDB,1/2 ROOM HDB,E,H,2,E,H2E,"1 & 2 ROOM HDB, Region East Coast",East Coast (D15-16)
property_segment,property_type,region_code,HDB,1/2 ROOM HDB,F,H,2,F,H2F,"1 & 2 ROOM HDB, Region Changi / Pasir Ris",Changi / Pasir Ris (D17-18)
property_segment,property_type,region_code,HDB,1/2 ROOM HDB,G,H,2,G,H2G,"1 & 2 ROOM HDB, Region Serangoon / Thomson",Serangoon / Thomson (D19-20)
property_segment,property_type,region_code,HDB,1/2 ROOM HDB,H,H,2,H,H2H,"1 & 2 ROOM HDB, Region West",West (D22-24)
property_segment,property_type,region_code,HDB,1/2 ROOM HDB,I,H,2,I,H2I,"1 & 2 ROOM HDB, Region North",North (D25-28)
property_segment,property_type,region_code,HDB,3 ROOM HDB,A,H,3,A,H3A,"3 ROOM HDB, Region City & South West",
property_segment,property_type,region_code,HDB,3 ROOM HDB,B,H,3,B,H3B,"3 ROOM HDB, Region Orchard / Holland",
property_segment,property_type,region_code,HDB,3 ROOM HDB,C,H,3,C,H3C,"3 ROOM HDB, Region Newton / Bt. Timah",
property_segment,property_type,region_code,HDB,3 ROOM HDB,D,H,3,D,H3D,"3 ROOM HDB, Region Balestier / Geylang",
property_segment,property_type,region_code,HDB,3 ROOM HDB,E,H,3,E,H3E,"3 ROOM HDB, Region East Coast",
property_segment,property_type,region_code,HDB,3 ROOM HDB,F,H,3,F,H3F,"3 ROOM HDB, Region Changi / Pasir Ris",
property_segment,property_type,region_code,HDB,3 ROOM HDB,G,H,3,G,H3G,"3 ROOM HDB, Region Serangoon / Thomson",
property_segment,property_type,region_code,HDB,3 ROOM HDB,H,H,3,H,H3H,"3 ROOM HDB, Region West",
property_segment,property_type,region_code,HDB,3 ROOM HDB,I,H,3,I,H3I,"3 ROOM HDB, Region North",
property_segment,property_type,region_code,HDB,4 ROOM HDB,A,H,4,A,H4A,"4 ROOM HDB, Region City & South West",
property_segment,property_type,region_code,HDB,4 ROOM HDB,B,H,4,B,H4B,"4 ROOM HDB, Region Orchard / Holland",
property_segment,property_type,region_code,HDB,4 ROOM HDB,C,H,4,C,H4C,"4 ROOM HDB, Region Newton / Bt. Timah",
property_segment,property_type,region_code,HDB,4 ROOM HDB,D,H,4,D,H4D,"4 ROOM HDB, Region Balestier / Geylang",
property_segment,property_type,region_code,HDB,4 ROOM HDB,E,H,4,E,H4E,"4 ROOM HDB, Region East Coast",
property_segment,property_type,region_code,HDB,4 ROOM HDB,F,H,4,F,H4F,"4 ROOM HDB, Region Changi / Pasir Ris",
property_segment,property_type,region_code,HDB,4 ROOM HDB,G,H,4,G,H4G,"4 ROOM HDB, Region Serangoon / Thomson",
property_segment,property_type,region_code,HDB,4 ROOM HDB,H,H,4,H,H4H,"4 ROOM HDB, Region West",
property_segment,property_type,region_code,HDB,4 ROOM HDB,I,H,4,I,H4I,"4 ROOM HDB, Region North",
property_segment,property_type,region_code,HDB,5 ROOM HDB,A,H,5,A,H5A,"5 ROOM HDB, Region City & South West",
property_segment,property_type,region_code,HDB,5 ROOM HDB,B,H,5,B,H5B,"5 ROOM HDB, Region Orchard / Holland",
property_segment,property_type,region_code,HDB,5 ROOM HDB,C,H,5,C,H5C,"5 ROOM HDB, Region Newton / Bt. Timah",
property_segment,property_type,region_code,HDB,5 ROOM HDB,D,H,5,D,H5D,"5 ROOM HDB, Region Balestier / Geylang",
property_segment,property_type,region_code,HDB,5 ROOM HDB,E,H,5,E,H5E,"5 ROOM HDB, Region East Coast",
property_segment,property_type,region_code,HDB,5 ROOM HDB,F,H,5,F,H5F,"5 ROOM HDB, Region Changi / Pasir Ris",
property_segment,property_type,region_code,HDB,5 ROOM HDB,G,H,5,G,H5G,"5 ROOM HDB, Region Serangoon / Thomson",
property_segment,property_type,region_code,HDB,5 ROOM HDB,H,H,5,H,H5H,"5 ROOM HDB, Region West",
property_segment,property_type,region_code,HDB,5 ROOM HDB,I,H,5,I,H5I,"5 ROOM HDB, Region North",
property_segment,property_type,region_code,HDB,OTHER HDB,A,H,6,A,H6A,"OTHERS HDB, Region City & South West",
property_segment,property_type,region_code,HDB,OTHER HDB,B,H,6,B,H6B,"OTHERS HDB, Region Orchard / Holland",
property_segment,property_type,region_code,HDB,OTHER HDB,C,H,6,C,H6C,"OTHERS HDB, Region Newton / Bt. Timah",
property_segment,property_type,region_code,HDB,OTHER HDB,D,H,6,D,H6D,"OTHERS HDB, Region Balestier / Geylang",
property_segment,property_type,region_code,HDB,OTHER HDB,E,H,6,E,H6E,"OTHERS HDB, Region East Coast",
property_segment,property_type,region_code,HDB,OTHER HDB,F,H,6,F,H6F,"OTHERS HDB, Region Changi / Pasir Ris",
property_segment,property_type,region_code,HDB,OTHER HDB,G,H,6,G,H6G,"OTHERS HDB, Region Serangoon / Thomson",
property_segment,property_type,region_code,HDB,OTHER HDB,H,H,6,H,H6H,"OTHERS HDB, Region West",
property_segment,property_type,region_code,HDB,OTHER HDB,I,H,6,I,H6I,"OTHERS HDB, Region North",
property_segment,bedrooms,region_code,Non-Landed,"0,1",A,N,1,A,N1A,"Non-Landed Studio/ 1 BR, Region City & South West",
