,region_code,description,dt,region,viz_group_code,median_q,q_pct_delta,median_psf,psf_pct_delta,listings,listings_pct_delta,median_lifetime,median_psf_history,listings_history,median_q_history
0,A,HDB | OTHERS,2024-09-24,City & South West (D01-08),AH0,1138000.0,0.016979445933869464,936.0,0.28483184625943725,13,-0.0714285714285714,21.0,"[{'time': '2024-09-18', 'value': 728.5}
 {'time': '2024-09-19', 'value': 728.5}
 {'time': '2024-09-20', 'value': 738.0}
 {'time': '2024-09-21', 'value': 738.0}
 {'time': '2024-09-22', 'value': 738.0}
 {'time': '2024-09-23', 'value': 827.5}
 {'time': '2024-09-24', 'value': 936.0}]","[{'time': '2024-09-18', 'value': 14} {'time': '2024-09-19', 'value': 14}
 {'time': '2024-09-20', 'value': 13} {'time': '2024-09-21', 'value': 13}
 {'time': '2024-09-22', 'value': 13} {'time': '2024-09-23', 'value': 12}
 {'time': '2024-09-24', 'value': 13}]","[{'time': '2024-09-18', 'value': 1119000.0}
 {'time': '2024-09-19', 'value': 1119000.0}
 {'time': '2024-09-20', 'value': 1100000.0}
 {'time': '2024-09-21', 'value': 1100000.0}
 {'time': '2024-09-22', 'value': 1100000.0}
 {'time': '2024-09-23', 'value': 1119000.0}
 {'time': '2024-09-24', 'value': 1138000.0}]"
1,B,HDB | OTHERS,2024-09-24,Orchard / Holland (D09-10),AH0,1200000.0,-0.07692307692307687,858.0,-0.07642626480086112,1,0.0,21.0,"[{'time': '2024-09-18', 'value': 858.0}
 {'time': '2024-09-19', 'value': 858.0}
 {'time': '2024-09-20', 'value': 858.0}
 {'time': '2024-09-21', 'value': 858.0}
 {'time': '2024-09-22', 'value': 858.0}
 {'time': '2024-09-23', 'value': 858.0}
 {'time': '2024-09-24', 'value': 858.0}]","[{'time': '2024-09-18', 'value': 1} {'time': '2024-09-19', 'value': 1}
 {'time': '2024-09-20', 'value': 1} {'time': '2024-09-21', 'value': 1}
 {'time': '2024-09-22', 'value': 1} {'time': '2024-09-23', 'value': 1}
 {'time': '2024-09-24', 'value': 1}]","[{'time': '2024-09-18', 'value': 1200000.0}
 {'time': '2024-09-19', 'value': 1200000.0}
 {'time': '2024-09-20', 'value': 1200000.0}
 {'time': '2024-09-21', 'value': 1200000.0}
 {'time': '2024-09-22', 'value': 1200000.0}
 {'time': '2024-09-23', 'value': 1200000.0}
 {'time': '2024-09-24', 'value': 1200000.0}]"
2,C,HDB | OTHERS,2024-09-24,"Newton / Bt. Timah (D11, 21)",AH0,1450000.0,0.01754385964912286,929.0,0.020879120879120805,3,-0.25,19.0,"[{'time': '2024-09-18', 'value': 910.0}
 {'time': '2024-09-19', 'value': 910.0}
 {'time': '2024-09-20', 'value': 910.0}
 {'time': '2024-09-21', 'value': 961.0}
 {'time': '2024-09-22', 'value': 961.0}
 {'time': '2024-09-23', 'value': 961.0}
 {'time': '2024-09-24', 'value': 929.0}]","[{'time': '2024-09-18', 'value': 4} {'time': '2024-09-19', 'value': 4}
 {'time': '2024-09-20', 'value': 4} {'time': '2024-09-21', 'value': 3}
 {'time': '2024-09-22', 'value': 3} {'time': '2024-09-23', 'value': 3}
 {'time': '2024-09-24', 'value': 3}]","[{'time': '2024-09-18', 'value': 1425000.0}
 {'time': '2024-09-19', 'value': 1425000.0}
 {'time': '2024-09-20', 'value': 1425000.0}
 {'time': '2024-09-21', 'value': 1500000.0}
 {'time': '2024-09-22', 'value': 1500000.0}
 {'time': '2024-09-23', 'value': 1500000.0}
 {'time': '2024-09-24', 'value': 1450000.0}]"
3,D,HDB | OTHERS,2024-09-24,Balestier / Geylang (D12-14),AH0,1099000.0,0.017592592592592604,719.0,-0.05019815059445176,51,0.0,21.0,"[{'time': '2024-09-18', 'value': 757.0}
 {'time': '2024-09-19', 'value': 733.0}
 {'time': '2024-09-20', 'value': 733.0}
 {'time': '2024-09-21', 'value': 740.5}
 {'time': '2024-09-22', 'value': 733.0}
 {'time': '2024-09-23', 'value': 726.0}
 {'time': '2024-09-24', 'value': 719.0}]","[{'time': '2024-09-18', 'value': 53} {'time': '2024-09-19', 'value': 53}
 {'time': '2024-09-20', 'value': 53} {'time': '2024-09-21', 'value': 54}
 {'time': '2024-09-22', 'value': 51} {'time': '2024-09-23', 'value': 52}
 {'time': '2024-09-24', 'value': 51}]","[{'time': '2024-09-18', 'value': 1080000.0}
 {'time': '2024-09-19', 'value': 1080000.0}
 {'time': '2024-09-20', 'value': 1080000.0}
 {'time': '2024-09-21', 'value': 1089500.0}
 {'time': '2024-09-22', 'value': 1099000.0}
 {'time': '2024-09-23', 'value': 1099000.0}
 {'time': '2024-09-24', 'value': 1099000.0}]"
4,E,HDB | OTHERS,2024-09-24,East Coast (D15-16),AH0,1198000.0,0.07927927927927936,784.0,0.07988980716253447,39,0.11428571428571432,17.0,"[{'time': '2024-09-18', 'value': 726.0}
 {'time': '2024-09-19', 'value': 736.5}
 {'time': '2024-09-20', 'value': 773.5}
 {'time': '2024-09-21', 'value': 762.0}
 {'time': '2024-09-22', 'value': 762.0}
 {'time': '2024-09-23', 'value': 762.0}
 {'time': '2024-09-24', 'value': 784.0}]","[{'time': '2024-09-18', 'value': 35} {'time': '2024-09-19', 'value': 36}
 {'time': '2024-09-20', 'value': 40} {'time': '2024-09-21', 'value': 39}
 {'time': '2024-09-22', 'value': 39} {'time': '2024-09-23', 'value': 39}
 {'time': '2024-09-24', 'value': 39}]","[{'time': '2024-09-18', 'value': 1110000.0}
 {'time': '2024-09-19', 'value': 1130000.0}
 {'time': '2024-09-20', 'value': 1189444.0}
 {'time': '2024-09-21', 'value': 1180000.0}
 {'time': '2024-09-22', 'value': 1180000.0}
 {'time': '2024-09-23', 'value': 1180000.0}
 {'time': '2024-09-24', 'value': 1198000.0}]"
5,F,HDB | OTHERS,2024-09-24,Changi / Pasir Ris (D17-18),AH0,980000.0,0.03157894736842115,617.0,0.00406834825061031,180,0.0714285714285714,20.0,"[{'time': '2024-09-18', 'value': 614.0}
 {'time': '2024-09-19', 'value': 617.0}
 {'time': '2024-09-20', 'value': 617.0}
 {'time': '2024-09-21', 'value': 617.0}
 {'time': '2024-09-22', 'value': 617.0}
 {'time': '2024-09-23', 'value': 617.0}
 {'time': '2024-09-24', 'value': 617.0}]","[{'time': '2024-09-18', 'value': 169} {'time': '2024-09-19', 'value': 177}
 {'time': '2024-09-20', 'value': 177} {'time': '2024-09-21', 'value': 180}
 {'time': '2024-09-22', 'value': 184} {'time': '2024-09-23', 'value': 186}
 {'time': '2024-09-24', 'value': 180}]","[{'time': '2024-09-18', 'value': 950000.0}
 {'time': '2024-09-19', 'value': 960000.0}
 {'time': '2024-09-20', 'value': 960000.0}
 {'time': '2024-09-21', 'value': 962500.0}
 {'time': '2024-09-22', 'value': 969000.0}
 {'time': '2024-09-23', 'value': 980000.0}
 {'time': '2024-09-24', 'value': 980000.0}]"
6,G,HDB | OTHERS,2024-09-24,Serangoon / Thomson (D19-20),AH0,1080000.0,0.02857142857142847,678.0,0.005934718100890191,150,-0.0066225165562914245,18.0,"[{'time': '2024-09-18', 'value': 678.0}
 {'time': '2024-09-19', 'value': 674.0}
 {'time': '2024-09-20', 'value': 668.0}
 {'time': '2024-09-21', 'value': 668.0}
 {'time': '2024-09-22', 'value': 674.0}
 {'time': '2024-09-23', 'value': 678.0}
 {'time': '2024-09-24', 'value': 678.0}]","[{'time': '2024-09-18', 'value': 149} {'time': '2024-09-19', 'value': 149}
 {'time': '2024-09-20', 'value': 148} {'time': '2024-09-21', 'value': 146}
 {'time': '2024-09-22', 'value': 148} {'time': '2024-09-23', 'value': 151}
 {'time': '2024-09-24', 'value': 150}]","[{'time': '2024-09-18', 'value': 1060000.0}
 {'time': '2024-09-19', 'value': 1050000.0}
 {'time': '2024-09-20', 'value': 1049999.5}
 {'time': '2024-09-21', 'value': 1049999.5}
 {'time': '2024-09-22', 'value': 1050000.0}
 {'time': '2024-09-23', 'value': 1080000.0}
 {'time': '2024-09-24', 'value': 1080000.0}]"
7,H,HDB | OTHERS,2024-09-24,West (D22-24),AH0,859444.0,-0.0006465116279069649,557.0,0.0,274,0.02621722846441954,21.0,"[{'time': '2024-09-18', 'value': 557.0}
 {'time': '2024-09-19', 'value': 557.0}
 {'time': '2024-09-20', 'value': 557.0}
 {'time': '2024-09-21', 'value': 557.5}
 {'time': '2024-09-22', 'value': 557.0}
 {'time': '2024-09-23', 'value': 557.0}
 {'time': '2024-09-24', 'value': 557.0}]","[{'time': '2024-09-18', 'value': 269} {'time': '2024-09-19', 'value': 267}
 {'time': '2024-09-20', 'value': 269} {'time': '2024-09-21', 'value': 274}
 {'time': '2024-09-22', 'value': 270} {'time': '2024-09-23', 'value': 273}
 {'time': '2024-09-24', 'value': 274}]","[{'time': '2024-09-18', 'value': 859888.0}
 {'time': '2024-09-19', 'value': 860000.0}
 {'time': '2024-09-20', 'value': 859888.0}
 {'time': '2024-09-21', 'value': 859888.0}
 {'time': '2024-09-22', 'value': 859444.0}
 {'time': '2024-09-23', 'value': 859888.0}
 {'time': '2024-09-24', 'value': 859444.0}]"
8,I,HDB | OTHERS,2024-09-24,North (D25-28),AH0,880000.0,0.0,585.0,0.008620689655172376,191,0.026881720430107503,20.0,"[{'time': '2024-09-18', 'value': 581.0}
 {'time': '2024-09-19', 'value': 582.0}
 {'time': '2024-09-20', 'value': 581.0}
 {'time': '2024-09-21', 'value': 584.0}
 {'time': '2024-09-22', 'value': 584.0}
 {'time': '2024-09-23', 'value': 585.0}
 {'time': '2024-09-24', 'value': 585.0}]","[{'time': '2024-09-18', 'value': 187} {'time': '2024-09-19', 'value': 188}
 {'time': '2024-09-20', 'value': 190} {'time': '2024-09-21', 'value': 193}
 {'time': '2024-09-22', 'value': 190} {'time': '2024-09-23', 'value': 195}
 {'time': '2024-09-24', 'value': 191}]","[{'time': '2024-09-18', 'value': 880000.0}
 {'time': '2024-09-19', 'value': 880000.0}
 {'time': '2024-09-20', 'value': 880000.0}
 {'time': '2024-09-21', 'value': 880000.0}
 {'time': '2024-09-22', 'value': 884000.0}
 {'time': '2024-09-23', 'value': 888000.0}
 {'time': '2024-09-24', 'value': 880000.0}]"
10,A,HDB | 1/2 ROOM,2024-09-24,City & South West (D01-08),AH2,355000.0,0.02898550724637672,736.0,0.0061517429938482415,19,-0.050000000000000044,16.0,"[{'time': '2024-09-18', 'value': 725.0}
 {'time': '2024-09-19', 'value': 725.0}
 {'time': '2024-09-20', 'value': 725.0}
 {'time': '2024-09-21', 'value': 731.5}
 {'time': '2024-09-22', 'value': 736.0}
 {'time': '2024-09-23', 'value': 736.0}
 {'time': '2024-09-24', 'value': 736.0}]","[{'time': '2024-09-18', 'value': 20} {'time': '2024-09-19', 'value': 20}
 {'time': '2024-09-20', 'value': 18} {'time': '2024-09-21', 'value': 18}
 {'time': '2024-09-22', 'value': 19} {'time': '2024-09-23', 'value': 19}
 {'time': '2024-09-24', 'value': 19}]","[{'time': '2024-09-18', 'value': 345000.0}
 {'time': '2024-09-19', 'value': 345000.0}
 {'time': '2024-09-20', 'value': 345000.0}
 {'time': '2024-09-21', 'value': 350000.0}
 {'time': '2024-09-22', 'value': 350000.0}
 {'time': '2024-09-23', 'value': 350000.0}
 {'time': '2024-09-24', 'value': 355000.0}]"
